Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/4/2020 16:00,31.5,8.5,10.9,88,51.11,Overcast
1/4/2020 17:00,30.6,9.8,10,72.6,54.59,Partially cloudy
1/4/2020 18:00,28.6,13,10,50,63.54,Partially cloudy
1/4/2020 19:00,27.9,8.5,10.9,39.4,66.12,Partially cloudy
1/4/2020 20:00,28,4.7,10,35.2,65.77,Partially cloudy
1/4/2020 21:00,27,4.7,10,35.2,71.49,Partially cloudy
1/4/2020 22:00,26,1.6,10.9,30.1,78.73,Partially cloudy
1/4/2020 23:00,26,5.4,10,27,83.56,Partially cloudy
1/5/2020 0:00,25,1.8,10,27,86.52,Partially cloudy
1/5/2020 1:00,24.6,1.3,10.2,30.1,89.73,Partially cloudy
1/5/2020 2:00,23.6,3.6,8,35.2,90.79,Partially cloudy
1/5/2020 3:00,24,0,8,35.2,94.15,Partially cloudy
1/5/2020 4:00,23.5,4.2,9.1,39.4,85.44,Partially cloudy
1/5/2020 5:00,23.4,6.3,10,35.2,87.37,Partially cloudy
1/5/2020 6:00,22.6,7,10,35.2,85.3,Partially cloudy
1/5/2020 7:00,24.3,7.5,10.9,16.3,81.09,Clear
1/5/2020 8:00,26.4,5.4,10,0,68.69,Clear
1/5/2020 9:00,27.4,8.3,10,30,66.41,Partially cloudy
1/5/2020 10:00,28,9.2,10.9,27.3,59.99,Partially cloudy
1/5/2020 11:00,28.4,9,10,27,58.89,Partially cloudy
1/5/2020 12:00,29.8,9.4,10,27,54.29,Partially cloudy
1/5/2020 13:00,31,8.8,10.9,27.3,49.25,Partially cloudy
1/5/2020 14:00,31.4,9,10,27,44.86,Partially cloudy
1/5/2020 15:00,32,6,10,27,40.72,Partially cloudy
1/5/2020 16:00,32.5,3.3,10.9,25.4,40.31,Partially cloudy
1/5/2020 17:00,30.2,7.4,10,27,52.52,Partially cloudy
1/5/2020 18:00,28.4,11.2,8,35.2,64.23,Partially cloudy
1/5/2020 19:00,27.9,11.9,10.9,30.1,66.71,Partially cloudy
1/5/2020 20:00,27,10.1,10,27,61.61,Partially cloudy
1/5/2020 21:00,27.4,10.4,10,0,60.16,Clear
1/5/2020 22:00,27,9.4,10,0,59.37,Clear
1/5/2020 23:00,27,7.8,10,0,63.19,Clear
1/6/2020 0:00,25,10.4,10,0,83.45,Clear
1/6/2020 1:00,24,3.9,10.2,34.1,88.5,Partially cloudy
1/6/2020 2:00,23.4,0,8,27,91.82,Partially cloudy
1/6/2020 3:00,23,1.8,8,27,94.11,Partially cloudy
1/6/2020 4:00,23,3.6,9.1,24.5,96.13,Clear
1/6/2020 5:00,23,6.3,7.2,27,94.11,Partially cloudy
1/6/2020 6:00,23,2.9,5.6,27,88.52,Partially cloudy
1/6/2020 7:00,23.8,4.3,6.9,25.4,87.41,Partially cloudy
1/6/2020 8:00,26.4,8.3,6.8,27,70.43,Partially cloudy
1/6/2020 9:00,28.4,6.3,8,27,60.39,Partially cloudy
1/6/2020 10:00,30.3,7.2,10.9,25.4,54.32,Partially cloudy
1/6/2020 11:00,32,6.3,10,27,46.72,Partially cloudy
1/6/2020 12:00,32,6.3,10,50,45.02,Partially cloudy
1/6/2020 13:00,33.4,10.4,10.9,53.8,39.17,Partially cloudy
1/6/2020 14:00,33,13,10,88.8,39.49,Overcast
1/6/2020 15:00,32.4,11.2,10,72.6,41.32,Partially cloudy
1/6/2020 16:00,32,10.4,10,50,41.78,Partially cloudy
1/6/2020 17:00,31.6,9.4,10,50,44.38,Partially cloudy
1/6/2020 18:00,30,9.8,7.6,35.2,58.58,Partially cloudy
1/6/2020 19:00,29,8.6,10,27,62.06,Partially cloudy
